Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
580NM_Rep_BE4max_K562_1_1	Reference	92.14266843	7.85733157	29498	18925	18925	17438	1487	0	52	204	1264	44	179	1234	0	5	22	3
580NM_Rep_BE4max_K562_1_2	Reference	90.12210575	9.87789425	29211	17362	17362	15647	1715	0	65	329	1357	61	296	1322	1	3	32	0
580NM_Rep_BE4max_K562_2_1	Reference	89.6344086	10.3655914	19010	18600	18600	16672	1928	0	48	271	1640	45	243	1609	0	3	28	0
581NM_End_BE4max_HEK_1_1	Reference	69.76303318	30.23696682	1117	1055	1055	736	319	0	2	16	304	1	14	301	0	1	2	0
581NM_End_BE4max_HEK_1_2	Reference	71.51114781	28.48885219	1235	1211	1211	866	345	0	2	7	336	2	7	336	0	0	0	0
581NM_End_BE4max_HEK_2_1	Reference	68.36499396	31.63500604	9498	9107	9107	6226	2881	0	17	66	2815	15	51	2799	0	1	14	1
581NM_End_BE4max_HEK_2_2	Reference	73.01020914	26.98979086	10324	10089	10089	7366	2723	0	17	59	2669	12	42	2647	0	5	17	0
581NM_End_BE4max_K562_1_1	Reference	91.71875	8.28125	6541	6400	6400	5870	530	0	1	6	524	0	6	523	0	1	0	0
581NM_End_BE4max_K562_1_2	Reference	89.0	11.0	5204	5100	5100	4539	561	0	3	4	559	0	2	555	0	2	1	1
581NM_End_BE4max_K562_2_1	Reference	91.27134725	8.72865275	10221	10013	10013	9139	874	0	2	20	858	1	15	852	0	1	5	0
581NM_End_BE4max_K562_2_2	Reference	89.46335079	10.53664921	10886	10696	10696	9569	1127	0	5	16	1113	4	10	1107	0	0	5	1
581NM_Rep_BE4max_HEK_1_1	Reference	46.54798089	53.45201911	9542	9212	9212	4288	4924	0	89	146	4813	36	75	4697	0	45	63	8
581NM_Rep_BE4max_HEK_1_2	Reference	44.41794209	55.58205791	15690	15093	15093	6704	8389	0	121	179	8224	71	94	8097	0	42	77	8
581NM_Rep_BE4max_HEK_2_1	Reference	46.98782536	53.01217464	10122	9528	9528	4477	5051	0	87	145	4950	47	54	4826	0	33	84	7
581NM_Rep_BE4max_HEK_2_2	Reference	51.57046781	48.42953219	14110	13531	13531	6978	6553	0	93	151	6440	41	72	6315	0	46	73	6
581NM_Rep_BE4max_K562_1_1	Reference	69.57025815	30.42974185	13326	12938	12938	9001	3937	0	31	47	3907	14	16	3861	0	15	29	2
581NM_Rep_BE4max_K562_1_2	Reference	58.75288684	41.24711316	15546	15155	15155	8904	6251	0	40	55	6204	24	23	6156	0	16	32	0
581NM_Rep_BE4max_K562_2_1	Reference	66.42537056	33.57462944	11910	11604	11604	7708	3896	0	24	46	3866	15	15	3827	0	8	30	1
581NM_Rep_BE4max_K562_2_2	Reference	61.35920875	38.64079125	13679	13346	13346	8189	5157	0	37	41	5130	17	10	5080	0	19	30	1
