Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
48_TD_PE2_1_2	HDR	94.65875371	5.34124629	15639	11108	337	319	18	0	1	1	17	0	1	16	0	1	0	0
49_TD_PE2_1_2	Reference	96.67252807	3.32747193	7847	7565	7393	7147	246	0	4	3	239	4	3	239	0	0	0	0
49_TD_PE2_1_2	HDR	96.47058824	3.52941176	7847	7565	170	164	6	0	0	2	4	0	2	4	0	0	0	0
50_TD_PE2_1_2	Reference	96.54250877	3.45749123	7614	7085	5987	5780	207	0	2	1	205	1	1	204	0	1	0	0
50_TD_PE2_1_2	HDR	94.99089253	5.00910747	7614	7085	1098	1043	55	0	4	9	44	4	7	42	0	0	2	0
51_TD_PE2_1_2	Reference	96.7659935	3.2340065	7423	7184	7081	6852	229	0	2	2	225	2	2	225	0	0	0	0
51_TD_PE2_1_2	HDR	98.96907216	1.03092784	7423	7184	97	96	1	0	0	0	1	0	0	1	0	0	0	0
52_TD_PE2_1_2	Reference	95.94751702	4.05248298	12308	12148	12042	11554	488	0	5	6	479	4	5	477	0	1	1	0
52_TD_PE2_1_2	HDR	98.11320755	1.88679245	12308	12148	106	104	2	0	0	0	2	0	0	2	0	0	0	0
53_TD_PE2_1_2	Reference	97.30258014	2.69741986	13601	12973	12790	12445	345	0	0	0	345	0	0	345	0	0	0	0
53_TD_PE2_1_2	HDR	91.80327869	8.19672131	13601	12973	183	168	15	0	5	0	10	5	0	10	0	0	0	0
54_TD_PE2_1_2	Reference	96.36572932	3.63427068	12425	12200	12162	11720	442	0	0	2	440	0	2	440	0	0	0	0
54_TD_PE2_1_2	HDR	100	0	12425	12200	7	7	0	0	0	0	0	0	0	0	0	0	0	0
58_TD_PE2_1_2	Reference	87.25959767	12.74040233	20409	13573	13571	11842	1729	0	0	3	1726	0	3	1726	0	0	0	0
