Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
48_TD_PE2_2_1	HDR	94.76439791	5.23560209	11233	7473	191	181	10	0	0	0	10	0	0	10	0	0	0	0
48_TD_PE2_2_2	Reference	94.03002309	5.96997691	12184	8954	8660	8143	517	0	5	14	514	1	2	498	0	4	12	0
48_TD_PE2_2_2	HDR	94.35483871	5.64516129	12184	8954	248	234	14	0	1	1	14	0	0	13	0	0	0	1
58_TD_PE2_2_1	Reference	64.19922804	35.80077196	19244	18931	18913	12142	6771	0	208	192	6769	0	2	6433	0	146	128	62
58_TD_PE2_2_1	HDR	0	100	19244	18931	7	0	7	0	2	3	7	0	0	4	0	0	1	2
58_TD_PE2_2_2	Reference	66.51578947	33.48421053	19307	19027	19000	12638	6362	0	198	184	6360	0	1	6048	1	130	115	67
58_TD_PE2_2_2	HDR	27.27272727	72.72727273	19307	19027	11	3	8	0	7	2	7	1	0	1	0	4	0	2
59_TD_PE2_2_1	Reference	66.63048841	33.36951159	20641	20341	20270	13506	6764	0	167	183	6755	1	2	6446	6	134	149	26
59_TD_PE2_2_1	HDR	52.11267606	47.88732394	20641	20341	71	37	34	0	2	10	34	0	0	23	0	1	9	1
59_TD_PE2_2_2	Reference	68.6982735	31.3017265	18582	18313	18245	12534	5711	0	139	146	5699	0	3	5456	9	109	113	21
59_TD_PE2_2_2	HDR	42.64705882	57.35294118	18582	18313	68	29	39	0	2	12	39	0	0	26	0	1	11	1
10_TD_PE2_1_1_control1	Reference	97.87438898	2.12561102	13611	13502	13502	13215	287	0	1	7	285	0	2	279	0	1	5	0
10_TD_PE2_1_1_control1	HDR	NA	NA	13611	13502	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_TD_PE2_1_1_control2	Reference	97.76035453	2.23964547	29442	29335	29335	28678	657	0	1	15	649	0	8	641	0	1	7	0
10_TD_PE2_1_1_control2	HDR	NA	NA	29442	29335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_TD_PE2_1_1_control3	Reference	96.40449438	3.59550562	562	445	445	429	16	0	0	0	16	0	0	16	0	0	0	0
10_TD_PE2_1_1_control3	HDR	NA	NA	562	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_TD_PE2_1_1_control4	Reference	98.12600393	1.87399607	5670	5603	5603	5498	105	0	0	6	100	0	5	99	0	0	1	0
10_TD_PE2_1_1_control4	HDR	NA	NA	5670	5603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_TD_PE2_1_2_control1	Reference	97.87438898	2.12561102	13611	13502	13502	13215	287	0	1	7	285	0	2	279	0	1	5	0
10_TD_PE2_1_2_control1	HDR	NA	NA	13611	13502	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_TD_PE2_1_2_control2	Reference	97.76035453	2.23964547	29442	29335	29335	28678	657	0	1	15	649	0	8	641	0	1	7	0
10_TD_PE2_1_2_control2	HDR	NA	NA	29442	29335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_TD_PE2_1_2_control3	Reference	96.40449438	3.59550562	562	445	445	429	16	0	0	0	16	0	0	16	0	0	0	0
10_TD_PE2_1_2_control3	HDR	NA	NA	562	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_TD_PE2_1_2_control4	Reference	98.12600393	1.87399607	5670	5603	5603	5498	105	0	0	6	100	0	5	99	0	0	1	0
10_TD_PE2_1_2_control4	HDR	NA	NA	5670	5603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29_TD_PE2_1_1_control1	Reference	96.6714622	3.3285378	15627	15306	15292	14783	509	0	1	15	502	0	7	494	0	0	7	1
29_TD_PE2_1_1_control1	HDR	21.42857143	78.57142857	15627	15306	14	3	11	0	0	0	11	0	0	11	0	0	0	0
29_TD_PE2_1_1_control2	Reference	96.64679944	3.35320056	21145	20644	20637	19945	692	0	1	14	683	0	9	678	0	0	4	1
29_TD_PE2_1_1_control2	HDR	57.14285714	42.85714286	21145	20644	7	4	3	0	0	0	3	0	0	3	0	0	0	0
29_TD_PE2_1_1_control3	Reference	97.25352113	2.74647887	3769	2842	2840	2762	78	0	0	1	77	0	1	77	0	0	0	0
29_TD_PE2_1_1_control3	HDR	50	50	3769	2842	2	1	1	0	0	0	1	0	0	1	0	0	0	0
29_TD_PE2_1_1_control4	Reference	97.3878758	2.6121242	5286	4062	4058	3952	106	0	0	1	106	0	0	105	0	0	1	0
29_TD_PE2_1_1_control4	HDR	50	50	5286	4062	4	2	2	0	0	0	2	0	0	2	0	0	0	0
29_TD_PE2_1_2_control1	Reference	96.6714622	3.3285378	15627	15306	15292	14783	509	0	1	15	502	0	7	494	0	0	7	1
29_TD_PE2_1_2_control1	HDR	21.42857143	78.57142857	15627	15306	14	3	11	0	0	0	11	0	0	11	0	0	0	0
29_TD_PE2_1_2_control2	Reference	96.64679944	3.35320056	21145	20644	20637	19945	692	0	1	14	683	0	9	678	0	0	4	1
29_TD_PE2_1_2_control2	HDR	57.14285714	42.85714286	21145	20644	7	4	3	0	0	0	3	0	0	3	0	0	0	0
29_TD_PE2_1_2_control3	Reference	97.25352113	2.74647887	3769	2842	2840	2762	78	0	0	1	77	0	1	77	0	0	0	0
29_TD_PE2_1_2_control3	HDR	50	50	3769	2842	2	1	1	0	0	0	1	0	0	1	0	0	0	0
29_TD_PE2_1_2_control4	Reference	97.3878758	2.6121242	5286	4062	4058	3952	106	0	0	1	106	0	0	105	0	0	1	0
29_TD_PE2_1_2_control4	HDR	50	50	5286	4062	4	2	2	0	0	0	2	0	0	2	0	0	0	0
46_TD_PE2_1_1_control1	Reference	92.64941837	7.35058163	16978	9981	9972	9239	733	0	8	29	731	0	2	696	0	8	27	0
46_TD_PE2_1_1_control1	HDR	0	100	16978	9981	9	0	9	0	1	1	9	0	0	7	0	1	1	0
46_TD_PE2_1_1_control2	Reference	91.47887324	8.52112676	23452	12800	12780	11691	1089	0	11	46	1083	2	4	1033	0	8	41	1
46_TD_PE2_1_1_control2	HDR	0	100	23452	12800	19	0	19	0	4	12	18	0	1	4	0	3	10	1
46_TD_PE2_1_1_control3	Reference	78.40909091	21.59090909	9949	1147	1144	897	247	0	4	20	246	0	1	223	0	4	19	0
46_TD_PE2_1_1_control3	HDR	0	100	9949	1147	3	0	3	0	0	2	3	0	0	1	0	0	2	0
46_TD_PE2_1_1_control4	Reference	82.11870774	17.88129226	9801	1334	1331	1093	238	0	2	10	238	0	0	226	0	2	10	0
46_TD_PE2_1_1_control4	HDR	0	100	9801	1334	3	0	3	0	0	1	3	0	0	2	0	0	1	0
47_TD_PE2_1_1_control1	Reference	93.21371291	6.78628709	16978	9981	9976	9299	677	0	6	21	674	0	3	650	0	6	18	0
47_TD_PE2_1_1_control1	HDR	0	100	16978	9981	5	0	5	0	2	2	5	0	0	1	0	2	2	0
47_TD_PE2_1_1_control2	Reference	92.1922626	7.8077374	23452	12799	12795	11796	999	0	10	43	993	1	5	946	0	9	38	0
47_TD_PE2_1_1_control2	HDR	25	75	23452	12799	4	1	3	0	0	2	3	0	0	1	0	0	2	0
47_TD_PE2_1_1_control3	Reference	79.56331878	20.43668122	9949	1147	1145	911	234	0	4	12	230	0	4	218	0	4	8	0
47_TD_PE2_1_1_control3	HDR	0	100	9949	1147	2	0	2	0	1	1	2	0	0	0	0	1	1	0
47_TD_PE2_1_1_control4	Reference	82.75862069	17.24137931	9801	1334	1334	1104	230	0	1	6	230	0	0	223	0	1	6	0
47_TD_PE2_1_1_control4	HDR	NA	NA	9801	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48_TD_PE2_1_1_control1	Reference	93.64919355	6.35080645	16978	9981	9920	9290	630	0	3	9	627	0	3	618	0	3	6	0
48_TD_PE2_1_1_control1	HDR	0	100	16978	9981	9	0	9	0	0	0	9	0	0	9	0	0	0	0
48_TD_PE2_1_1_control2	Reference	93.11565696	6.88434304	23452	12801	12710	11835	875	0	10	14	873	0	2	852	0	9	11	1
48_TD_PE2_1_1_control2	HDR	14.28571429	85.71428571	23452	12801	21	3	18	0	1	1	18	0	0	17	0	0	0	1
48_TD_PE2_1_1_control3	Reference	83.86809269	16.13190731	9949	1147	1122	941	181	0	3	2	180	0	0	177	1	2	1	0
48_TD_PE2_1_1_control3	HDR	25	75	9949	1147	4	1	3	0	0	0	3	0	0	3	0	0	0	0
48_TD_PE2_1_1_control4	Reference	85.8662614	14.1337386	9801	1334	1316	1130	186	0	7	8	186	0	0	173	0	5	6	2
48_TD_PE2_1_1_control4	HDR	0	100	9801	1334	6	0	6	0	1	0	6	0	0	5	0	1	0	0
58_TD_PE2_1_1_control1	Reference	64.47163788	35.52836212	24788	24459	24434	15753	8681	0	231	293	8676	0	2	8245	3	143	203	85
58_TD_PE2_1_1_control1	HDR	0	100	24788	24459	10	0	10	0	5	4	9	1	0	1	0	4	4	0
58_TD_PE2_1_1_control2	Reference	63.53074883	36.46925117	32096	31703	31676	20124	11552	0	290	299	11546	0	1	11045	5	208	216	77
58_TD_PE2_1_1_control2	HDR	0	100	32096	31703	6	0	6	0	5	1	6	0	0	0	0	5	1	0
58_TD_PE2_1_1_control3	Reference	46.73913043	53.26086957	771	92	92	43	49	0	1	2	49	0	0	46	0	1	2	0
58_TD_PE2_1_1_control3	HDR	NA	NA	771	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58_TD_PE2_1_1_control4	Reference	61.78571429	38.21428571	513	280	280	173	107	0	1	2	107	0	0	104	0	1	2	0
58_TD_PE2_1_1_control4	HDR	NA	NA	513	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59_TD_PE2_1_1_control1	Reference	66.65030072	33.34969928	24788	24459	24441	16290	8151	0	190	274	8141	0	4	7754	6	123	203	61
59_TD_PE2_1_1_control1	HDR	0	100	24788	24459	17	0	17	0	0	17	17	0	0	0	0	0	17	0
59_TD_PE2_1_1_control2	Reference	65.85435146	34.14564854	32096	31703	31679	20862	10817	0	245	283	10804	0	5	10353	8	181	214	56
59_TD_PE2_1_1_control2	HDR	0	100	32096	31703	24	0	24	0	1	24	24	0	0	0	0	0	23	1
59_TD_PE2_1_1_control3	Reference	47.82608696	52.17391304	771	92	92	44	48	0	0	1	48	0	0	47	0	0	1	0
59_TD_PE2_1_1_control3	HDR	NA	NA	771	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59_TD_PE2_1_1_control4	Reference	63.44086022	36.55913978	513	280	279	177	102	0	1	2	102	0	0	99	0	1	2	0
59_TD_PE2_1_1_control4	HDR	0	100	513	280	1	0	1	0	0	1	1	0	0	0	0	0	1	0
46_TD_PE2_1_2_control1	Reference	92.64941837	7.35058163	16978	9981	9972	9239	733	0	8	29	731	0	2	696	0	8	27	0
46_TD_PE2_1_2_control1	HDR	0	100	16978	9981	9	0	9	0	1	1	9	0	0	7	0	1	1	0
46_TD_PE2_1_2_control2	Reference	91.47887324	8.52112676	23452	12800	12780	11691	1089	0	11	46	1083	2	4	1033	0	8	41	1
46_TD_PE2_1_2_control2	HDR	0	100	23452	12800	19	0	19	0	4	12	18	0	1	4	0	3	10	1
46_TD_PE2_1_2_control3	Reference	78.40909091	21.59090909	9949	1147	1144	897	247	0	4	20	246	0	1	223	0	4	19	0
46_TD_PE2_1_2_control3	HDR	0	100	9949	1147	3	0	3	0	0	2	3	0	0	1	0	0	2	0
46_TD_PE2_1_2_control4	Reference	82.11870774	17.88129226	9801	1334	1331	1093	238	0	2	10	238	0	0	226	0	2	10	0
46_TD_PE2_1_2_control4	HDR	0	100	9801	1334	3	0	3	0	0	1	3	0	0	2	0	0	1	0
47_TD_PE2_1_2_control1	Reference	93.21371291	6.78628709	16978	9981	9976	9299	677	0	6	21	674	0	3	650	0	6	18	0
47_TD_PE2_1_2_control1	HDR	0	100	16978	9981	5	0	5	0	2	2	5	0	0	1	0	2	2	0
47_TD_PE2_1_2_control2	Reference	92.1922626	7.8077374	23452	12799	12795	11796	999	0	10	43	993	1	5	946	0	9	38	0
47_TD_PE2_1_2_control2	HDR	25	75	23452	12799	4	1	3	0	0	2	3	0	0	1	0	0	2	0
47_TD_PE2_1_2_control3	Reference	79.56331878	20.43668122	9949	1147	1145	911	234	0	4	12	230	0	4	218	0	4	8	0
47_TD_PE2_1_2_control3	HDR	0	100	9949	1147	2	0	2	0	1	1	2	0	0	0	0	1	1	0
47_TD_PE2_1_2_control4	Reference	82.75862069	17.24137931	9801	1334	1334	1104	230	0	1	6	230	0	0	223	0	1	6	0
47_TD_PE2_1_2_control4	HDR	NA	NA	9801	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48_TD_PE2_1_2_control1	Reference	93.64919355	6.35080645	16978	9981	9920	9290	630	0	3	9	627	0	3	618	0	3	6	0
48_TD_PE2_1_2_control1	HDR	0	100	16978	9981	9	0	9	0	0	0	9	0	0	9	0	0	0	0
48_TD_PE2_1_2_control2	Reference	93.11565696	6.88434304	23452	12801	12710	11835	875	0	10	14	873	0	2	852	0	9	11	1
48_TD_PE2_1_2_control2	HDR	14.28571429	85.71428571	23452	12801	21	3	18	0	1	1	18	0	0	17	0	0	0	1
48_TD_PE2_1_2_control3	Reference	83.86809269	16.13190731	9949	1147	1122	941	181	0	3	2	180	0	0	177	1	2	1	0
48_TD_PE2_1_2_control3	HDR	25	75	9949	1147	4	1	3	0	0	0	3	0	0	3	0	0	0	0
48_TD_PE2_1_2_control4	Reference	85.8662614	14.1337386	9801	1334	1316	1130	186	0	7	8	186	0	0	173	0	5	6	2
48_TD_PE2_1_2_control4	HDR	0	100	9801	1334	6	0	6	0	1	0	6	0	0	5	0	1	0	0
58_TD_PE2_1_2_control1	Reference	64.47163788	35.52836212	24788	24459	24434	15753	8681	0	231	293	8676	0	2	8245	3	143	203	85
58_TD_PE2_1_2_control1	HDR	0	100	24788	24459	10	0	10	0	5	4	9	1	0	1	0	4	4	0
58_TD_PE2_1_2_control2	Reference	63.53074883	36.46925117	32096	31703	31676	20124	11552	0	290	299	11546	0	1	11045	5	208	216	77
58_TD_PE2_1_2_control2	HDR	0	100	32096	31703	6	0	6	0	5	1	6	0	0	0	0	5	1	0
58_TD_PE2_1_2_control3	Reference	46.73913043	53.26086957	771	92	92	43	49	0	1	2	49	0	0	46	0	1	2	0
58_TD_PE2_1_2_control3	HDR	NA	NA	771	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58_TD_PE2_1_2_control4	Reference	61.78571429	38.21428571	513	280	280	173	107	0	1	2	107	0	0	104	0	1	2	0
58_TD_PE2_1_2_control4	HDR	NA	NA	513	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59_TD_PE2_1_2_control1	Reference	66.65030072	33.34969928	24788	24459	24441	16290	8151	0	190	274	8141	0	4	7754	6	123	203	61
