Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
544NM_End_PE_K562_1_1	Reference	95.68556585	4.31443415	18123	17919	17708	16944	764	0	30	29	707	29	28	705	0	1	1	0
544NM_End_PE_K562_1_1	HDR	84.76190476	15.23809524	18123	17919	210	178	32	0	2	6	27	0	5	24	0	2	1	0
544NM_End_PE_K562_1_2	Reference	96.61244791	3.38755209	15500	15014	14878	14374	504	0	20	21	464	19	21	463	0	1	0	0
544NM_End_PE_K562_1_2	HDR	91.79104478	8.20895522	15500	15014	134	123	11	0	4	1	8	2	1	6	0	2	0	0
544NM_End_PE_K562_2_1	Reference	95.83467181	4.16532819	19214	18970	18678	17900	778	0	23	30	729	21	28	725	0	2	2	0
544NM_End_PE_K562_2_1	HDR	79.10958904	20.89041096	19214	18970	292	231	61	0	3	27	31	3	27	31	0	0	0	0
544NM_End_PE_K562_2_2	Reference	96.83177153	3.16822847	13931	13610	13446	13020	426	0	8	17	404	6	16	401	0	2	1	0
544NM_End_PE_K562_2_2	HDR	89.50617284	10.49382716	13931	13610	162	145	17	0	0	3	14	0	3	14	0	0	0	0
544NM_Rep_PE_HEK_1_1	Reference	90.57471264	9.42528736	3624	2838	870	788	82	0	47	12	40	33	9	26	0	11	0	3
544NM_Rep_PE_HEK_1_1	HDR	93.3299389	6.6700611	3624	2838	1964	1833	131	0	11	28	100	7	24	92	0	4	4	0
544NM_Rep_PE_HEK_1_2	Reference	91.04803493	8.95196507	5259	3441	916	834	82	0	42	12	50	26	6	28	0	16	6	0
544NM_Rep_PE_HEK_1_2	HDR	93.33068678	6.66931322	5259	3441	2519	2351	168	0	12	43	121	8	39	113	0	4	4	0
544NM_Rep_PE_HEK_2_1	Reference	93.06709265	6.93290735	11716	9076	3130	2913	217	0	96	27	134	63	19	96	1	31	6	1
544NM_Rep_PE_HEK_2_1	HDR	95.17241379	4.82758621	11716	9076	5945	5658	287	0	21	64	216	11	60	202	0	10	4	0
544NM_Rep_PE_HEK_2_2	Reference	92.93320426	7.06679574	5342	3627	1033	960	73	0	35	7	44	25	4	31	0	10	3	0
544NM_Rep_PE_HEK_2_2	HDR	93.63916731	6.36083269	5342	3627	2594	2429	165	0	8	46	116	5	44	111	0	3	2	0
544NM_Rep_PE_K562_1_1	Reference	95.00491642	4.99508358	8754	5398	5085	4831	254	0	8	11	238	8	8	235	0	0	3	0
